,slug,#,name,symbol,marketcap,price,totalsupply,volume,change1h,change24h,change7d,more-options
0,bitcoin,"
1
",BTC,BTC,123548669698.0,7242.03,17059950.0,4709790000.0,0.05%,-1.43%,-14.62%,Add to Watchlist
1,ethereum,"
2
",ETH,ETH,53507796582.5,536.597,99716913.4053,2243350000.0,-0.22%,-7.21%,-24.51%,Add to Watchlist
2,ripple,"
3
",XRP,XRP,22603049321.7,0.576756,39189968239.0,259328000.0,0.15%,-5.43%,-16.61%,Add to Watchlist
3,bitcoin-cash,"
4
",BCH,BCH,15999867209.8,932.824,17152075.0,539297000.0,-0.24%,-7.12%,-25.69%,Add to Watchlist
4,eos,"
5
",EOS,EOS,10642413712.5,12.0174,885583712.988,1388780000.0,-0.32%,-4.04%,-12.17%,Add to Watchlist
5,litecoin,"
6
",LTC,LTC,6427236380.68,113.294,56730598.0959,281890000.0,-0.30%,-4.00%,-17.12%,Add to Watchlist
6,stellar,"
7
",XLM,XLM,4866825036.72,0.261965,18578149893.0,50143200.0,-0.05%,-5.84%,-19.86%,Add to Watchlist
7,cardano,"
8
",ADA,ADA,4714552579.56,0.181839,25927070538.0,86098700.0,-0.01%,-6.81%,-28.35%,Add to Watchlist
8,tron,"
9
",TRX,TRX,4307480959.62,0.0655149,65748111645.1,448786000.0,0.20%,-10.07%,-19.58%,Add to Watchlist
9,iota,"
10
",MIOTA,MIOTA,3907991782.6,1.40599,2779530283.0,52284300.0,-0.18%,-3.14%,-21.34%,Add to Watchlist
10,neo,"
11
",NEO,NEO,3217695000.0,49.503,65000000.0,86521000.0,0.00%,-4.84%,-22.24%,Add to Watchlist
11,monero,"
12
",XMR,XMR,2539673251.67,157.984,16075509.2393,37281000.0,0.23%,-3.66%,-20.93%,Add to Watchlist
12,tether,"
13
",USDT,USDT,2513634308.23,1.00259,2507140813.52,2294160000.0,0.24%,0.28%,0.08%,Add to Watchlist
13,dash,"
14
",DASH,DASH,2485550090.65,307.022,8095674.22092,82975600.0,-0.25%,-3.86%,-22.80%,Add to Watchlist
14,nem,"
15
",XEM,XEM,2159711999.76,0.239968,8999999999.0,11043200.0,-0.74%,-6.53%,-24.23%,Add to Watchlist
15,vechain,"
16
 ",VEN,VEN,1748038455.07,3.32297,526047016.697,61290900.0,0.38%,-5.12%,-25.18%,Add to Watchlist
16,ethereum-classic,"
17
",ETC,ETC,1501769679.42,14.7402,101882585.0,143484000.0,-0.48%,-3.06%,-17.90%,Add to Watchlist
17,binance-coin,"
18
",BNB,BNB,1385978011.09,12.1533,114041290.11,37950400.0,-0.13%,-4.20%,-13.70%,Add to Watchlist
18,qtum,"
19
",QTUM,QTUM,1130111568.43,12.7512,88627860.0,120286000.0,-0.07%,-3.23%,-23.03%,Add to Watchlist
19,omisego,"
20
",OMG,OMG,1010331468.41,9.90108,102042551.763,44105500.0,-0.45%,-5.59%,-22.94%,Add to Watchlist
20,bytecoin-bcn,"
21
",BCN,BCN,997912957.907,0.00542667,183890481254.0,15019800.0,-0.46%,-10.22%,-40.74%,Add to Watchlist
21,zcash,"
22
",ZEC,ZEC,987183861.55,245.944,4013856.25,62773200.0,-1.27%,-7.00%,-28.08%,Add to Watchlist
22,lisk,"
23
",LSK,LSK,901975650.618,8.48037,106360412.413,11798000.0,-0.71%,-3.81%,-24.83%,Add to Watchlist
23,icon,"
24
",ICX,ICX,891913837.215,2.30331,387231348.457,41647200.0,0.02%,-9.55%,-35.00%,Add to Watchlist
24,zilliqa,"
25
",ZIL,ZIL,791062440.689,0.107932,7329266952.24,33752200.0,-0.53%,-9.17%,-25.69%,Add to Watchlist
25,ontology,"
26
",ONT,ONT,753481881.736,6.12726,122972075.893,54376400.0,0.07%,-5.17%,-22.64%,Add to Watchlist
26,bitcoin-gold,"
27
",BTG,BTG,715363469.626,42.0009,17032098.589,11412700.0,-0.08%,-5.20%,-23.47%,Add to Watchlist
27,aeternity,"
28
",AE,AE,707156547.543,3.03474,233020472.114,11195700.0,-0.13%,-4.43%,-22.67%,Add to Watchlist
28,decred,"
29
",DCR,DCR,632095982.683,88.4577,7145742.91082,4405760.0,1.99%,1.17%,-23.53%,Add to Watchlist
29,bytom,"
30
",BTM,BTM,615360942.0,0.623466,987000000.0,71832500.0,-0.26%,-0.58%,-16.20%,Add to Watchlist
30,0x,"
31
",ZRX,ZRX,598753114.96,1.12815,530738922.094,15268200.0,-0.13%,-5.92%,-18.77%,Add to Watchlist
31,steem,"
32
",STEEM,STEEM,592814352.193,2.30344,257360448.804,8802120.0,-0.50%,-9.25%,-23.47%,Add to Watchlist
32,verge,"
33
",XVG,XVG,564968226.187,0.0376699,14997869019.7,16733500.0,-0.48%,-5.15%,-31.65%,Add to Watchlist
33,bitshares,"
34
",BTS,BTS,506778120.42,0.192813,2628340000.0,15514600.0,-0.07%,-2.50%,-25.45%,Add to Watchlist
34,siacoin,"
35
",SC,SC,501426103.447,0.0144473,34707253497.0,10617000.0,-0.05%,-7.26%,-28.43%,Add to Watchlist
35,nano,"
36
",NANO,NANO,491239805.392,3.68665,133248289.203,8952740.0,0.45%,-10.85%,-34.11%,Add to Watchlist
36,bitcoin-diamond,"
37
",BCD,BCD,458990410.544,2.98517,153756875.0,1456180.0,-2.17%,-4.41%,-26.17%,Add to Watchlist
37,populous,"
38
",PPT,PPT,455171733.217,12.3006,37004026.8944,23525500.0,-0.12%,-4.43%,-28.90%,Add to Watchlist
38,bitcoin-private,"
39
",BTCP,BTCP,454665257.022,22.2381,20445328.3789,1087800.0,0.09%,4.14%,0.47%,Add to Watchlist
39,maker,"
40
",MKR,MKR,453052765.628,732.825,618227.770106,444172.0,-0.15%,-2.63%,-20.21%,Add to Watchlist
40,rchain,"
41
",RHOC,RHOC,434421699.009,1.20607,360196090.616,655094.0,1.93%,-0.21%,-24.30%,Add to Watchlist
41,wanchain,"
42
",WAN,WAN,421396734.592,3.96973,106152492.636,7593520.0,-1.41%,-10.20%,-32.88%,Add to Watchlist
42,stratis,"
43
",STRAT,STRAT,421371944.683,4.26175,98872985.2016,5905490.0,-0.27%,-9.40%,-27.11%,Add to Watchlist
43,waves,"
44
",WAVES,WAVES,398676000.0,3.98676,100000000.0,21640700.0,-0.82%,-7.94%,-33.46%,Add to Watchlist
